ROI,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance
1,0.0,256.599365234375,842694664.2357843,3.3904040759292333,114.03616333007812,3.326690879289265,725.8875732421875,161.10706655617946,71.07994306509296,182.00772094726562,0.0,725.8875732421875,67.9633976865937,183.86544415405785,-0.3868384361499228,842694664.2357843,0.1103420181659052,7851.014659631719
2,0.0,252.93990325927743,725228626.6326988,3.348071194612127,108.92770385742188,2.420721594033951,511.3995056152344,156.5154167148014,68.08070760093756,177.47998809814453,0.0,511.3995056152344,65.25583552794805,177.45592330775605,-0.6260775828758208,725228626.6326988,0.11098130796188173,6993.529047600264
3,0.0,272.57923278808596,1341896304.589571,3.521803798261831,126.20402336120605,3.423846241517994,716.7700805664062,168.85754623716008,75.05286256161304,187.86145782470703,0.0,716.7700805664062,71.14647916808524,193.03491011783916,-0.2763496650515415,1341896304.589571,0.09916262593501082,8749.605602967578
4,0.0,267.6605651855469,1392325103.5316205,3.4993176167800506,105.07979583740234,3.4324966154817114,727.2095947265625,171.33789260636826,68.59690954133225,187.1194305419922,0.0,727.2095947265625,64.61504655180023,192.57250173739604,-0.39378604349147206,1392325103.5316205,0.10275073933120712,7727.494982608021
5,0.0,273.16619873046875,1606178722.0321324,3.714846031672502,128.25573539733887,8.774685370309946,930.876220703125,171.44578069905512,84.7200741712654,179.72582244873047,0.0,930.876220703125,71.38744861746923,209.80218286284094,1.4638337644211283,1606178722.0321324,0.0953819127476934,14623.300214504454
6,0.0,263.9715087890625,1260513960.706376,3.430942449822194,133.46562957763672,2.1656023902715984,362.8582458496094,161.4538897337255,75.87844867241972,186.19154357910156,0.0,362.8582458496094,73.37541899041392,185.28498866092357,-0.5695113634855361,1260513960.706376,0.10555497701689816,8263.168512928585
7,55.70939407348633,252.1972564697266,303088272.6686893,3.2051225974451887,78.41212463378906,3.4924545102989533,334.7532653808594,177.95211867901597,56.543810776505914,193.06637573242188,0.0,334.7532653808594,36.07133335171483,192.87933860873812,-1.0762971617280572,303088272.6686893,0.1285362831483218,5535.482719793687
8,29.090545654296875,250.0928497314453,354511893.27350473,3.2604153270357763,77.46937561035156,3.308582994156381,424.6869201660156,168.12089048971717,56.64079999689061,180.93099975585938,0.0,424.6869201660156,35.583111592410326,184.0894091221752,-0.8614708327671158,354511893.27350473,0.122251803008358,5624.276731896127
9,44.25678749084473,270.0743347167969,831514211.5104223,3.4059940418686456,89.05427169799805,3.415927665962152,751.1856689453125,182.7366112342444,62.51133473730639,198.48013305664062,0.0,751.1856689453125,40.87777666374572,199.92238105322832,-0.8050125499824828,831514211.5104223,0.1096028068123648,6576.289360616843
10,0.0,262.824462890625,621185168.2937236,3.2597521682124393,119.00846099853516,2.3146042804903058,456.38531494140625,166.0381016107262,75.67127890175396,192.4457244873047,0.0,456.38531494140625,74.5978369839501,190.1179554313779,-0.743227309317764,621185168.2937236,0.12168954107568956,8576.185790913562
11,121.47940979003907,254.70065307617188,220386152.58145922,3.081654581612792,64.57239151000977,5.294091694685696,549.4844970703125,186.06988220539472,43.74811861377088,190.34613800048828,0.0,549.4844970703125,27.14966883988084,195.63939959907842,-0.917667978562403,220386152.58145922,0.14235952552414802,3652.7736115584194
12,0.0,197.3048553466797,91987725.9611912,2.753314786294024,168.21405029296875,1.4981814000838316,378.008544921875,90.04668843532576,77.31902466444514,94.69094848632812,0.0,378.008544921875,70.77348366292162,122.97194244689231,0.16055570716228557,91987725.9611912,0.21626195187083905,7013.692530993168
